SaturateEnable,1
SaturateLevel,0.7
,
HalfLambertShadowSaturation,2.0
HalfLambertShadowDarkness,0.75
,
GaussianEnable,0
GaussianSampleSize,101
GaussianStrength,1.0
MaskedGaussianEnable,0
MaskedGaussianMaskPath,
,
FXAAEnable,0
FXAAQuality,4
TAAEnable,0
TAAHistoryWeight,0.85
,
MotionBlurCameraEnable,0
MotionBlurCameraQuality,4
MotionBlurCameraMaxBlurPixels,24
MotionBlurCameraSampleCount,13
CameraNear,0.1
CameraFar,300.0
RenderQuality,HIGH
,
SSSEnable,0
SSSIntensity,1.0
SSSColorR,1.0
SSSColorG,1.0
SSSColorB,0.5
,
FogEnable,1
FogIntensity,10.0
FogColorR,0.58
FogColorG,0.42
FogColorB,0.30
FogDensity,10.0
,
DepthBufferShadowEnable,1
ShadowIntensity,0.0
ShadowCoverage,0.1
ShadowCoverageFar,0.40
ShadowBias,0.001
ShadowSaturationBoost,0.0
ShadowPcfTapCount,3
ShadowCompositeTapCount,3
,
SSAOEnable,0
SSAOBlurEnable,1
SSAOSeparableBlurEnable,1
SSAORandomSamplingDirectionEnable,1
SSAODepthScaledSampleDistanceEnable,0
SSAOMaxDarknessClampEnable,0
SSAOTexSize,1/1
SSAOCompositeGaussian3x3Enable,0
SSAOShadowStrength,1.0
SSAOShadowSaturationBoost,0.30
SSAOSampleCount,8
SSAOSampleRadius,1.0
SSAOBlurKernelSize,21
,
SSGIEnable,0
SSGIBlurEnable,1
SSGISeparableBlurEnable,1
SSGIDepthScaledSampleDistanceEnable,0
SSGIUseThickness,1
SSGITexSize,1/1
SSGISampleCount,16
SSGISampleRadius,1.0
SSGIBlurKernelSize,21
SSGIIndirectLightStrength,1.0
SSGIIndirectLightMaxContribution,1.0
,
SpecularIntensity,0.1
SpecularIntensityOverride,0
FresnelIntensity,0.08
PhongTreatTextureAsWhite,0
,
BloomEnable,0
BloomThreshold,0.0
BloomWeightSum,0.02
HaloEnable,0
HaloThreshold,1.0
PostEffectAAEnable,0
,
StarBurstEnable,0
StarBurstThreshold,2.0
StarBurstDistanceFade,0.0
,
DepthOfFieldMode,0
DepthOfFieldFocalDistance,3.0
DepthOfFieldStartNear,0.5
DepthOfFieldMaxBlurDistance,8.0
DepthOfFieldAutoActivationDistance,1.0
,
ModelLoadScale,1.0
,
SunLightIntensity,0.65
SunLightColorR,1.0
SunLightColorG,0.55
SunLightColorB,0.25
AmbientLightIntensity,0.22
AmbientLightColorR,0.55
AmbientLightColorG,0.25
AmbientLightColorB,0.1
,
FogHeightEnable,0
FogHeightIntensity,0.3
FogHeightStart,0.0
FogHeightMax,-5.0
FogHeightDistanceStart,0.0
FogHeightDistanceMax,20.0
,
GodRayEnable,0
GodRayLightColorR,1.0
GodRayLightColorG,0.9
GodRayLightColorB,0.8
GodRayIntensity,0.1
GodRayVirtualProximityStrength,1.5
GodRayLightPosX,100.0
GodRayLightPosY,10.0
GodRayLightPosZ,100.0
,
CameraNear,0.1
CameraFar,300.0
CameraHorizontalFov,90.0
CameraPosX,0.0
CameraPosY,3.0
CameraPosZ,-4.0
CameraLookAtX,0.0
CameraLookAtY,0.0
CameraLookAtZ,0.0
GBufferNear,0.1
GBufferFar,30.0
,
