PageNo,Image,Resolution,Message,CharLeft,CharLeftResolution,CharLeftFlip,CharLeftScale,CharCenter,CharCenterResolution,CharCenterFlip,CharCenterScale,CharRight,CharRightResolution,CharRightFlip,CharRightScale
"1","res\2D_Image\ending_bg_p02_dawn_beach.png","1600x900","　青い光を集めた一撃が、ホシガールの中心を貫いた。","res\2D_Image\ending_chr_white_ghost_transparent.png","1600x900","false","0.95","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p02_dawn_beach.png","1600x900","　黒い影は裂け、夜風の中へ散っていく。","res\2D_Image\ending_chr_white_ghost_transparent.png","1600x900","false","0.95","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p02_dawn_beach.png","1600x900","「倒した……？　やった！　これでコンサートの予算が賄える！」","res\2D_Image\ending_chr_white_ghost_transparent.png","1600x900","false","0.95","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p02_dawn_beach.png","1600x900","「コンサートはワシも見に行くかの」「最前列を開けて待ってるわ！」","res\2D_Image\ending_chr_white_ghost_transparent.png","1600x900","false","0.95","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p02_dawn_beach.png","1600x900","　マリンは喜び、かなたとコールの練習を始めた。","res\2D_Image\ending_chr_white_ghost_transparent.png","1600x900","false","0.95","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"2","res\2D_Image\ending_bg_p02_dawn_beach.png","1600x900","「さいこーですか？」「さいこーでーす！」","","","","","res\2D_Image\ending_chr_kanata_possessed_transparent.png","1600x900","false","0.95","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"2","res\2D_Image\ending_bg_p02_dawn_beach.png","1600x900","「しあわせですか？」「しあわせです！」","","","","","res\2D_Image\ending_chr_kanata_possessed_transparent.png","1600x900","false","0.95","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"2","res\2D_Image\ending_bg_p02_dawn_beach.png","1600x900","　その瞬間、マリンは固まった。かなたの髪と服が黒く染まっていた。","","","","","res\2D_Image\ending_chr_kanata_possessed_transparent.png","1600x900","false","0.95","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"2","res\2D_Image\ending_bg_p02_dawn_beach.png","1600x900","「お憑付き合いしちゃってる！！」","","","","","res\2D_Image\ending_chr_kanata_possessed_transparent.png","1600x900","false","0.95","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"2","res\2D_Image\ending_bg_p02_dawn_beach.png","1600x900","「この子は乗っ取らせてもらいました」","","","","","res\2D_Image\ending_chr_kanata_possessed_transparent.png","1600x900","false","0.95","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
