"PageNo","Image","Resolution","Message","CharLeft","CharLeftResolution","CharLeftFlip","CharLeftScale","CharCenter","CharCenterResolution","CharCenterFlip","CharCenterScale","CharRight","CharRightResolution","CharRightFlip","CharRightScale"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","　その日、新月だった。

　夜の山頂は、昼間とはまったく違う場所のようだった。","","","","","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","　月のない空には星だけが散り、風が石柱の間を抜けていく。
　祭壇は闇の中に沈み、中央のくぼみだけが、わずかに光を帯びていた。","","","","","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","　マリンは木の棒を握りしめ、祭壇から少し離れた場所で待機していた。

「あの～、マリンさん」","","","","","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","
　頭の中で黒い守護霊が言った。
","","","","","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","「何？」

「憑依しているときは、ムラムラは抑えて欲しいのですが……」","","","","","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","
「うっ……仕方ないでしょ！　なんか問題ある？！」","","","","","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","「ムラムラと心霊現象は百八十度、逆のものなので、私が追い出されてしまいます……」

「もうちょっと気合を入れろ！　歯を食いしばれ！」","","","","","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","
「うぅ……」
","","","","","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","　その時、祭壇が怪しく輝いた。","","","","","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","　石のくぼみから、金色の光が漏れ出す。
　光は少しずつ形を取り、やがて、一本の十字架となった。
　それは黄金でできていた。","","","","","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","　古びているはずなのに、夜の闇の中で、まぶしいほど輝いている。

「出た……！」","","","","","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","
　マリンが一歩近づいた、その時。","","","","","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","　祭壇の前に、白い人影が現れた。

　黒い守護霊と同じように、雪だるまのような単純な形。","","","","","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
"1","res\2D_Image\ending_bg_p01_forest_night.png","1600x900","　だが、こちらは白く、ぼんやりと光っていた。

「とりあえずこいつをくらえ！」","","","","","","","","","res\2D_Image\ending_chr_marine_cross_transparent.png","1600x900","false","1.00"
