ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,loadType,PlacementCsv
1,../ground/stage_visual_ground_world1.x,0,0,0,0,0,0,1,meshmix2
2,stage_ground.x,0,0,0,0,0,0,1,meshmix2
10,../collision_wall/collision_wall.x,-7,1.5,-8,0,0,0,1,meshmix2
11,../collision_wall/collision_wall.x,7,1.5,4,0,0,0,1,meshmix2
12,../collision_wall/collision_wall.x,0,1.5,14,0,90,0,1,meshmix2
20,../cubeWood/cube_wood.x,-4,0,-18,0,0,0,1,normal
21,../cubeWood/cube_wood.x,5,0,-5,0,0,0,1,normal
22,../cubeWood/cube_wood.x,-5,0,8,0,0,0,1,normal
23,../cubeWood/cube_wood.x,7,0,19,0,0,0,1,normal
26,../SkySphere/SkySphere.blend.x,0,0.01,0,0,0,0,1,normal
27,../tree2/lemonTree.x,10,0,22,0,0,0,1,normal
301,../grass/grass.x,0,0,0,0,0,0,1,instancing,../grass/grass1-1.csv
302,../tree2/lemonTree.Instancing.x,0,0,0,0,0,0,1,instancing,../tree2/lemonTree.Instancing.1-1.csv
201,../fence.x,-11,0.5,-30,0,0,0,1,normal
202,../fence.x,-3,0.5,-30,0,0,0,1,normal
203,../fence.x,5,0.5,-30,0,0,0,1,normal
204,../fence.x,13,0.5,-30,0,0,0,1,normal
205,../fence.x,-11,0.5,30,0,0,0,1,normal
206,../fence.x,-3,0.5,30,0,0,0,1,normal
207,../fence.x,5,0.5,30,0,0,0,1,normal
208,../fence.x,13,0.5,30,0,0,0,1,normal
209,../fence.x,-15,0.5,-26,0,90,0,1,normal
210,../fence.x,-15,0.5,-18,0,90,0,1,normal
211,../fence.x,-15,0.5,-10,0,90,0,1,normal
212,../fence.x,-15,0.5,-2,0,90,0,1,normal
213,../fence.x,-15,0.5,6,0,90,0,1,normal
214,../fence.x,-15,0.5,14,0,90,0,1,normal
215,../fence.x,-15,0.5,22,0,90,0,1,normal
216,../fence.x,-15,0.5,30,0,90,0,1,normal
217,../fence.x,15,0.5,-26,0,90,0,1,normal
218,../fence.x,15,0.5,-18,0,90,0,1,normal
219,../fence.x,15,0.5,-10,0,90,0,1,normal
220,../fence.x,15,0.5,-2,0,90,0,1,normal
221,../fence.x,15,0.5,6,0,90,0,1,normal
222,../fence.x,15,0.5,14,0,90,0,1,normal
223,../fence.x,15,0.5,22,0,90,0,1,normal
224,../fence.x,15,0.5,30,0,90,0,1,normal
303,../collision_wall/collision_wall_tall.x,-10,1.5,-20,0,90,0,1,meshmix2
304,../collision_wall/collision_wall_tall.x,10,1.5,0,0,90,0,1,meshmix2
305,../collision_wall/collision_wall_tall.x,-10,1.5,20,0,90,0,1,meshmix2
