ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,Type,Move,Instancing
1,res/model/cubeNormalInverse30x60.x,0,0,0,0,0,0,1,Collision,n,
2,res/model/stage_1_6/stage_ground.x,0,0.01,0,0,0,0,1,Collision,n,
3111,res/model/cubeWoodSmall/cube_wood_small_collision.x,-10.8,0,-12,0,0,0,1,Collision,n,
3112,res/model/cubeWoodSmall/cube_wood_small_collision.x,-10.8,0.95,-12,0,20,0,1,Collision,n,
3113,res/model/cubeWoodSmall/cube_wood_small_collision.x,12.5,0,-5,0,0,0,1,Collision,n,
3114,res/model/cubeWoodSmall/cube_wood_small_collision.x,-11.5,0,4,0,15,0,1,Collision,n,
3131,res/model/base/base_rock1_collision.x,-13,0,-24,0,30,0,0.7,Collision,n,
3132,res/model/base/base_rock2_collision.x,-12,0,-20,0,120,0,0.7,Collision,n,
3133,res/model/base/base_rock1_collision.x,12,0,5,0,200,0,0.8,Collision,n,
3511,res/model/collision_moving_platform.x,-7.5,0.4,0,0,0,0,1,Collision,y,
3601,res/model/static_platform/static_platform_1x1_collision.x,7,0.7,0,0,0,0,1,Collision,n,
3602,res/model/static_platform/static_platform_1x1_collision.x,9,0.7,0,0,0,0,1,Collision,n,
3620,res/model/static_platform/static_platform_2x2_collision.x,9.5,3.4,-5,0,0,0,1,Collision,n,
3621,res/model/static_platform/static_platform_2x2_collision.x,-10,3.4,14,0,0,0,1,Collision,n,
3701,res/model/plateLava.x,12.5,0.02,16.5,0,0,0,0.75,NonCollision,n,
3801,res/model/tree2Physics/tree_cylinder_collision.x,-12.5,0,-15,0,0,0,1,Collision,n,
11001,res/model/attack_block/attack_wall.x,-12,1.5,-26.5,0,0,0,1.3,Collision,y,
