ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,loadType
2,plateField64x128.x, 0, 0,0, 0, 0, 0, 1, normal
3,collision_wall.x, -7, 1.5,-20, 0, 0, 0, 1, normal
4,collision_wall.x, 7,1.51,-20, 0, 0, 0, 1, normal
5,collision_wall.x, -8,1.52,-4, 0, 1.5708, 0, 1, normal
6,collision_wall.x, 8,1.53,4, 0, 1.5708, 0, 1, normal
7,collision_wall.x, -5,1.54,14, 0, 0, 0, 1, normal
8,collision_wall.x, 5,1.55,14, 0, 0, 0, 1, normal
9,collision_wall.x, -10,1.56,24, 0, 1.5708, 0, 1, normal
10,collision_wall.x, 11,1.57,-8, 0, 0, 0, 1, normal
11,collision_moving_platform.x, 0, 0.8,-22, 0, 0, 0, 1, normal
12,collision_moving_platform.x, -5,0.81,-14, 0, 0, 0, 1, normal
13,collision_moving_platform.x, 5,0.82,-8, 0, 0, 0, 1, normal
14,collision_moving_platform.x, 0,0.83,0, 0, 0, 0, 1, normal
15,collision_moving_platform.x, -5,0.84,8, 0, 0, 0, 1, normal
16,collision_moving_platform.x, 5,0.85,16, 0, 0, 0, 1, normal
17,collision_moving_platform.x, -2,0.86,22, 0, 0, 0, 1, normal
18,collision_moving_platform.x, 2,0.87,28, 0, 0, 0, 1, normal
19,cubeWood/cube_wood.x, -3,0,-26, 0, 0, 0, 1, normal
20,cubeWood/cube_wood.x, 3,0.01,-18, 0, 0, 0, 1, normal
21,cubeWood/cube_wood.x, -2,0.02,-6, 0, 0, 0, 1, normal
22,cubeWood/cube_wood.x, 3,0.03,6, 0, 0, 0, 1, normal
23,cubeWood/cube_wood.x, -3,0.04,18, 0, 0, 0, 1, normal
24,cubeWood/cube_wood.x, 3,0.05,26, 0, 0, 0, 1, normal
26,SkySphere/SkySphere.blend.x, 0,0.01,0, 0, 0, 0, 1, normal
201,fence.x,-11,0.5,-30,0,0,0,1,normal
202,fence.x,-3,0.5,-30,0,0,0,1,normal
203,fence.x,5,0.5,-30,0,0,0,1,normal
204,fence.x,13,0.5,-30,0,0,0,1,normal
205,fence.x,-11,0.5,30,0,0,0,1,normal
206,fence.x,-3,0.5,30,0,0,0,1,normal
207,fence.x,5,0.5,30,0,0,0,1,normal
208,fence.x,13,0.5,30,0,0,0,1,normal
209,fence.x,-15,0.5,-26,0,90,0,1,normal
210,fence.x,-15,0.5,-18,0,90,0,1,normal
211,fence.x,-15,0.5,-10,0,90,0,1,normal
212,fence.x,-15,0.5,-2,0,90,0,1,normal
213,fence.x,-15,0.5,6,0,90,0,1,normal
214,fence.x,-15,0.5,14,0,90,0,1,normal
215,fence.x,-15,0.5,22,0,90,0,1,normal
216,fence.x,-15,0.5,30,0,90,0,1,normal
217,fence.x,15,0.5,-26,0,90,0,1,normal
218,fence.x,15,0.5,-18,0,90,0,1,normal
219,fence.x,15,0.5,-10,0,90,0,1,normal
220,fence.x,15,0.5,-2,0,90,0,1,normal
221,fence.x,15,0.5,6,0,90,0,1,normal
222,fence.x,15,0.5,14,0,90,0,1,normal
223,fence.x,15,0.5,22,0,90,0,1,normal
224,fence.x,15,0.5,30,0,90,0,1,normal
