ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,Type,Move,Instancing
1,res/model/cubeNormalInverse.x,0,0,0,0,0,0,1,Collision,n
2,res/model/plateField.x,0,0,0,0,0,0,1,Collision,n
3,res/model/monkey.blend.x,5,0,0,0,0,0,1,Collision,n
4,res/model/cubeEmitYellow.x,-5,2,0,0,0,0,1,Collision,n
5,res/model/collision_wall.x,0,0,5,0,0,0,1,Collision,n
6,res/model/tree2Physics/lemonTree.Instancing.x,0,0,0,0,0,0,1,Collision,n,y
7,res/model/collision_moving_platform.x,10,3,0,0,0,0,1,Collision,y
8,res/model/collision_moving_platform.x,-3,1,-2,0,0,0,1,Collision,y
9,res/model/collision_moving_platform.x,-2,1,-5,0,0,0,1,Collision,y
10,res/model/collision_moving_platform.x,3,0,5,0,0,0,1,Collision,y
11,res/model/collision_moving_platform.x,5,4.5,5,0,0,0,1,Collision,y
12,res/model/collision_moving_platform.x,7.5,6.2,3,0,0,0,1,Collision,y
13,res/model/collision_moving_platform.x,10,7.9,5,0,0,0,1,Collision,y
14,res/model/collision_moving_platform.x,12.5,9.6,3,0,0,0,1,Collision,y
15,res/model/collision_moving_platform.x,15,11.3,5,0,0,0,1,Collision,y
16,res/model/collision_moving_platform.x,17.5,13,3,0,0,0,1,Collision,y
17,res/model/collision_moving_platform.x,20,14.7,5,0,0,0,1,Collision,y
18,res/model/collision_moving_platform.x,22.5,16.4,3,0,0,0,1,Collision,y
19,res/model/collision_moving_platform.x,25,18.1,5,0,0,0,1,Collision,y
