ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,Type,Move,Instancing
1,res/model/cubeNormalInverse120x120.x,0,0,0,0,0,0,1,Collision,n,
2,res/model/stage23/stage_ground.x,0,0.01,0,0,0,0,1,Collision,n,
2701,res/model/collision_wall/collision_wall_collision.x,-32,1.5,18,0,90,0,1,Collision,n,
2702,res/model/collision_wall/collision_wall_collision.x,-8,1.5,18,0,90,0,1,Collision,n,
2703,res/model/collision_wall/collision_wall_collision.x,20,1.5,18,0,90,0,1,Collision,n,
2704,res/model/collision_wall/collision_wall_collision.x,-20,1.5,-18,0,90,0,1,Collision,n,
2705,res/model/collision_wall/collision_wall_collision.x,8,1.5,-18,0,90,0,1,Collision,n,
2706,res/model/collision_wall/collision_wall_collision.x,32,1.5,-18,0,90,0,1,Collision,n,
2707,res/model/cubeWoodSmall/cube_wood_small_collision.x,-36,0,30,0,0,0,1,Collision,n,
2708,res/model/cubeWoodSmall/cube_wood_small_collision.x,-28,0,30,0,0,0,1,Collision,n,
2709,res/model/cubeWoodSmall/cube_wood_small_collision.x,32,0,28,0,0,0,1,Collision,n,
2710,res/model/cubeWoodSmall/cube_wood_small_collision.x,-30,0,0,0,0,0,1,Collision,n,
2711,res/model/cubeWoodSmall/cube_wood_small_collision.x,30,0,0,0,0,0,1,Collision,n,
2712,res/model/cubeWoodSmall/cube_wood_small_collision.x,-30,0,-30,0,0,0,1,Collision,n,
2713,res/model/cubeWoodSmall/cube_wood_small_collision.x,30,0,-30,0,0,0,1,Collision,n,
2714,res/model/plateLava.x,-18,0.02,-30,0,0,0,1,NonCollision,n,
2715,res/model/plateLava.x,18,0.02,-30,0,0,0,1,NonCollision,n,
8060,res/model/collision_wall/collision_wall_tall_collision.x,-42,1.5,-42,0,0,0,1,Collision,n
8061,res/model/collision_wall/collision_wall_tall_collision.x,0,1.5,0,0,90,0,1,Collision,n
8062,res/model/collision_wall/collision_wall_tall_collision.x,42,1.5,42,0,0,0,1,Collision,n
