ID,PhysicsID,Damage
stage13-lava-01,5001,25
stage13-lava-02,5002,25
stage13-lava-03,5003,25
stage13-lava-04,5004,25
stage13-lava-05,5005,25
stage13-lava-06,5006,25
stage13-lava-07,5007,25
stage13-lava-08,5008,25
stage13-lava-09,5009,25
stage13-lava-10,5010,25
stage13-lava-11,5011,25
stage13-lava-12,5012,25
stage13-lava-13,5013,25
stage13-lava-14,5014,25
stage13-lava-15,5015,25
stage13-lava-16,5016,25
stage13-lava-17,5017,25
stage13-lava-18,5018,25
stage13-lava-19,5019,25
stage13-lava-20,5020,25
stage13-lava-21,5021,25
stage13-lava-22,5022,25
stage13-lava-23,5023,25
stage13-lava-24,5024,25
stage13-lava-25,5025,25
stage13-lava-26,5026,25
stage13-lava-27,5027,25
stage13-lava-28,5028,25
stage13-lava-29,5029,25
stage13-lava-30,5030,25
