ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,loadType,PlacementCsv
1,../ground/stage_visual_ground_world3.x,0,0,0,0,0,0,1,meshmix2,
2,stage_ground.x,0,0,0,0,0,0,1,meshmix2,
9001,../SkySphere_evening/SkySphere.blend.x,0,0.01,0,0,0,0,1,normal,
3501,../cubeWoodSmall/cube_wood_small.x,-45,0,-110,0,0,0,1,normal,
3502,../cubeWoodSmall/cube_wood_small.x,45,0,-110,0,0,0,1,normal,
3503,../cubeWoodSmall/cube_wood_small.x,-45,0,-45,0,0,0,1,normal,
3504,../cubeWoodSmall/cube_wood_small.x,45,0,-45,0,0,0,1,normal,
3505,../cubeWoodSmall/cube_wood_small.x,-45,0,85,0,0,0,1,normal,
3506,../cubeWoodSmall/cube_wood_small.x,45,0,85,0,0,0,1,normal,
3507,../cubeWoodSmall/cube_wood_small.x,16,0,20,0,0,0,1,normal,
3508,../cubeWoodSmall/cube_wood_small.x,24,0,20,0,0,0,1,normal,
3509,../cubeWoodSmall/cube_wood_small.x,-8,0,-35,0,0,0,1,normal,
3510,../cubeWoodSmall/cube_wood_small.x,8,0,-35,0,0,0,1,normal,
3511,../collision_moving_platform/collision_moving_platform.x,0,0.4,-68,0,0,0,1,meshmix2,
3512,../collision_moving_platform/collision_moving_platform.x,0,0.4,55,0,0,0,1,meshmix2,
3513,../collision_moving_platform/collision_moving_platform.x,0,0.4,-55,0,0,0,1,meshmix2,
3601,../static_platform/static_platform_2x2.x,0,3.0,-55,0,0,0,1,meshmix2,
3602,../static_platform/static_platform_2x2.x,0,4.0,-35,0,0,0,1,meshmix2,
3603,../static_platform/static_platform_2x2.x,0,4.0,55,0,0,0,1,meshmix2,
3701,../plateLava.x,-30,0.02,-55,0,0,0,0.4,meshmix2,
3702,../plateLava.x,30,0.02,-55,0,0,0,0.4,meshmix2,
3703,../plateLava.x,-30,0.02,45,0,0,0,0.4,meshmix2,
3704,../plateLava.x,30,0.02,55,0,0,0,0.4,meshmix2,
3801,../tree2/lemonTree.x,0,0,-10,0,0,0,1,normal,
8301,../collision_wall/collision_wall.x,20,1.5,20,0,90,0,1,meshmix2,
11001,../attack_block/attack_wall.x,0,1.5,-30,0,0,0,2,meshmix2,
5000,../warp_bear/warp_bear.x,0,0.2,-100,0,0,0,1,meshmix2,
5001,../warp_bear/warp_bear.x,-30,0.2,-60,0,180,0,1,meshmix2,
5002,../warp_bear/warp_bear.x,30,0.2,-70,0,0,0,1,meshmix2,
5003,../warp_bear/warp_bear.x,-25,0.2,-30,0,180,0,1,meshmix2,
5004,../warp_bear/warp_bear.x,30,0.2,-15,0,0,0,1,meshmix2,
5005,../warp_bear/warp_bear.x,-30,0.2,15,0,180,0,1,meshmix2,
5006,../warp_bear/warp_bear.x,30,0.2,35,0,0,0,1,meshmix2,
5007,../warp_bear/warp_bear.x,-30,0.2,55,0,180,0,1,meshmix2,
5008,../warp_bear/warp_bear.x,30,0.2,75,0,0,0,1,meshmix2,
5009,../warp_bear/warp_bear.x,0,0.2,100,0,180,0,1,meshmix2,
5010,../warp_bear/warp_bear.x,30,0.2,-88,0,0,0,1,meshmix2,
5011,../warp_bear/warp_bear.x,30,0.2,-35,0,180,0,1,meshmix2,
5012,../warp_bear/warp_bear.x,-30,0.2,-45,0,0,0,1,meshmix2,
5013,../warp_bear/warp_bear.x,30,0.2,5,0,180,0,1,meshmix2,
5014,../warp_bear/warp_bear.x,0,0.2,-5,0,0,0,1,meshmix2,
5015,../warp_bear/warp_bear.x,0,0.2,60,0,180,0,1,meshmix2,
5016,../warp_bear/warp_bear.x,-40,0.2,-108,0,0,0,1,meshmix2,
5017,../warp_bear/warp_bear.x,-40,0.2,105,0,180,0,1,meshmix2,
5018,../warp_bear/warp_bear.x,-30,0.2,30,0,0,0,1,meshmix2,
5019,../warp_bear/warp_bear.x,30,0.2,90,0,180,0,1,meshmix2,
9100,../base/base_rock2.x,-70.0,0,-112.0,0,20.0,0,1.2,normal,
9101,../base/base_rock1.x,68.0,0,-105.0,0,340.0,0,1.1,normal,
9102,../base/base_rock2.x,-66.0,0,-60.0,0,120.0,0,0.9,normal,
9103,../base/base_rock1.x,66.5,0,-55.0,0,250.0,0,1.05,normal,
9104,../base/base_rock2.x,-68.0,0,30.0,0,300.0,0,1.0,normal,
9105,../base/base_rock1.x,67.0,0,35.0,0,180.0,0,1.15,normal,
9106,../base/base_rock2.x,-69.5,0,105.0,0,40.0,0,1.25,normal,
9107,../base/base_rock1.x,68.5,0,110.0,0,200.0,0,1.0,normal,
9200,../grass/grass.x,0,0,0,0,0,0,1,instancing,../grass/grass3-5.csv
9201,../tree2/lemonTree.Instancing.x,0,0,0,0,0,0,1,instancing,../tree2/lemonTree.Instancing.3-5.csv
9202,../fence.x,0,0,0,0,0,0,1,instancing,../fence3-5.csv
9203,../collision_wall/collision_wall_tall.x,0,0,0,0,0,0,1,instancing,../collision_wall/collision_wall_tall.3-5.csv
