Type,PosX,PosY,PosZ,RotY
ghost,-25,0.2,-100,0
small_skeleton,25,0.2,-105,180
skeleton,-10,0.2,-95,0
ghost,-38,0.2,-60,0
skeleton,38,0.2,-70,180
small_skeleton,12,0.2,-50,0
ghost,-15,0.2,-48,0
skeleton,0,0.2,-78,180
ghost,-20,0.2,-35,0
skeleton,25,0.2,-38,180
small_skeleton,10,0.2,-15,0
ghost,-10,0.2,-20,0
small_skeleton,-25,0.2,10,0
skeleton,25,0.2,12,180
ghost,-38,0.2,32,0
skeleton,10,0.2,35,180
ghost,-38,0.2,55,0
skeleton,38,0.2,55,180
small_skeleton,10,0.2,45,0
ghost,-15,0.2,70,0
skeleton,-25,0.2,90,180
ghost,25,0.2,100,180
small_skeleton,-10,0.2,110,0
skeleton,30,0.2,110,180
