ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,loadType
2,../plateField.x,0,0,0,0,0,0,1,normal
1603,../collision_wall.x,-10.5,1.5,14,0,1.5708,0,1,normal
1604,../collision_wall.x,10.5,1.51,10,0,0,0,1,normal
1605,../collision_wall.x,-5,1.52,7.0,0,1.5708,0,1,normal
1606,../collision_wall.x,5,1.53,-7.0,0,1.5708,0,1,normal
1607,../collision_wall.x,-8.5,1.54,-8,0,0,0,1,normal
1608,../collision_wall.x,8.5,1.55,-12,0,1.5708,0,1,normal
1609,../collision_wall.x,-4.5,1.56,18,0,1.5708,0,1,normal
1610,../collision_wall.x,5.5,1.57,-18,0,0,0,1,normal
1613,../collision_moving_platform.x,-3.5,0.82,-2,0,0,0,1,normal
1614,../collision_moving_platform.x,3.5,0.83,2,0,0,0,1,normal
1619,../cube_white.x,-11.5,1,18,0,0,0,1,normal
1620,../cube_white.x,-4,1.01,13.0,0,0,0,1,normal
1621,../cube_white.x,-2.5,1.02,12,0,0,0,1,normal
1622,../cube_white.x,5.5,1.03,-12,0,0,0,1,normal
1623,../cube_white.x,6,1.04,-13.0,0,0,0,1,normal
1624,../cube_white.x,11.5,1.05,-18,0,0,0,1,normal
1626,..\SkySphere\SkySphere.blend.x, 0,0.01,0, 0, 0, 0, 1, normal
