Type,PosX,PosY,PosZ,RotY
small_spider,-45,0.9,-34,30
spider,-50,0.9,-35,180
small_golem,-38,0.9,-40,270
small_spider,-31,3.75,2,45
spider,-22,3.75,1,210
small_golem,-30,3.75,11,120
small_spider,-20,3.75,10,300
small_golem,4,0.9,-44,30
small_spider,11,0.9,-45,180
spider,17,0.9,-43,270
small_spider,5,0.9,-34,120
small_golem,15,0.9,-33,300
small_golem,37,0.9,32,30
small_spider,44,0.9,32,180
spider,51,0.9,33,270
small_spider,38,0.9,39,120
small_golem,45,0.9,39,300
small_spider,-31,3.75,50,45
spider,-25,3.75,52,225
small_golem,-54,3.75,25,60
small_spider,-49,3.75,29,240
