ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,Type,Move,Instancing
1,res/model/cubeNormalInverse120x120.x,0,0,0,0,0,0,1,Collision,n,
2,res/model/stage24/stage_ground.x,0,0.01,0,0,0,0,1,Collision,n,
2801,res/model/collision_wall/collision_wall_collision.x,-22,1.5,22,0,0,0,1,Collision,n,
2802,res/model/collision_wall/collision_wall_collision.x,22,1.5,22,0,0,0,1,Collision,n,
2803,res/model/collision_wall/collision_wall_collision.x,-22,1.5,-22,0,0,0,1,Collision,n,
2804,res/model/collision_wall/collision_wall_collision.x,22,1.5,-22,0,0,0,1,Collision,n,
2809,res/model/plateLava.x,-26,0.02,0,0,0,0,1.25,NonCollision,n,
2810,res/model/plateLava.x,26,0.02,0,0,0,0,1.25,NonCollision,n,
2811,res/model/plateLava.x,0,0.02,26,0,0,0,1.25,NonCollision,n,
2812,res/model/plateLava.x,0,0.02,-26,0,0,0,1.25,NonCollision,n,
8060,res/model/collision_wall/collision_wall_tall_collision.x,-42,1.5,-42,0,0,0,1,Collision,n
8061,res/model/collision_wall/collision_wall_tall_collision.x,0,1.5,42,0,90,0,1,Collision,n
8062,res/model/collision_wall/collision_wall_tall_collision.x,42,1.5,42,0,0,0,1,Collision,n
