Anim, "000", "marine.000.x", default
Anim, "walk", "marine.walk.x", loop
Anim, "run", "marine.run.x", loop
Anim, "slash", "marine.slash.x", normal
Anim, "slash2", "marine.slash2.x", normal
Anim, "jump", "marine.jump.x", stopend
Anim, "shoot_start", "marine.shoot_start.x", normal
Anim, "shoot_recoil", "marine.shoot_recoil.x", normal
Anim, "shoot_aim", "marine.shoot_aim.x", stopend
Anim, "shoot_end", "marine.shoot_end.x", normal
Anim, "place_bomb", "marine.place_bomb.x", normal
Anim, "death", "marine.death.x", stopWhenEnd
