AutoHide,n
#x,y,z,RotY,Scale
-48.69,0,-139.24,236.0,1.01
73.36,0,-98.67,84.0,1.35
-77.80,0,-44.21,328.3,1.05
-76.21,0,40.92,286.6,1.08
68.53,0,0.08,173.1,1.14
-73.34,0,-16.61,32.1,1.06
54.62,0,133.97,120.6,1.24
-42.54,0,-129.47,9.1,1.22
-67.00,0,69.44,86.0,1.36
68.24,0,-88.19,234.5,0.91
66.69,0,131.31,163.3,0.82
68.94,0,-9.30,91.4,0.82
7.04,0,-136.36,141.8,1.49
2.65,0,-141.64,157.6,0.98
-65.37,0,4.84,140.3,1.49
-22.47,0,-133.86,34.9,1.20
57.37,0,-133.52,69.7,1.37
-0.73,0,-129.22,308.5,0.80
-71.64,0,10.61,30.2,1.03
71.64,0,-120.43,222.7,0.95
-77.41,0,132.92,249.5,1.36
-77.94,0,52.82,237.5,0.93
-66.26,0,54.06,148.8,1.05
65.35,0,102.14,72.3,1.32
-74.76,0,-59.69,1.7,1.27
64.63,0,-89.59,42.0,1.32
64.28,0,73.41,352.3,1.50
-19.79,0,127.02,303.7,0.88
57.62,0,132.31,264.4,1.34
77.11,0,-39.23,292.5,1.14
56.32,0,129.14,304.7,1.44
23.26,0,130.44,44.8,1.37
58.20,0,125.33,18.3,1.23
74.53,0,-37.86,7.9,1.08
63.07,0,-139.90,106.7,1.37
69.92,0,19.66,90.0,1.18
-45.52,0,-135.92,300.6,0.80
-30.32,0,-127.89,204.2,0.94
38.06,0,132.34,184.2,1.03
-69.22,0,-141.90,1.7,0.99
-32.02,0,124.18,154.8,1.21
69.63,0,40.65,29.0,1.00
-41.47,0,126.16,229.7,0.95
-76.87,0,9.33,146.2,1.04
66.50,0,96.57,148.2,1.31
-77.72,0,-17.30,96.2,1.06
31.53,0,-132.35,245.8,1.07
-72.00,0,-2.13,270.3,0.91
-24.94,0,-132.78,128.7,1.43
-69.23,0,70.60,202.2,0.91
-46.54,0,124.80,203.1,1.50
60.66,0,131.73,14.1,1.11
-44.88,0,-138.91,256.0,1.49
62.52,0,132.06,102.6,1.33
26.08,0,-127.75,163.7,0.95
67.54,0,-43.23,222.7,0.99
73.68,0,-76.01,22.6,1.04
-61.78,0,140.90,38.2,0.92
-71.73,0,141.74,216.2,0.86
-76.26,0,-21.08,97.1,1.39
-77.50,0,-67.88,54.6,0.96
73.84,0,-22.59,155.2,0.91
-45.90,0,-141.83,242.0,1.32
7.16,0,-131.23,201.8,1.40
-74.90,0,-68.72,186.6,1.08
64.78,0,-40.00,221.9,1.03
64.37,0,-37.82,94.9,1.03
-76.59,0,-55.49,345.7,1.41
77.13,0,133.74,319.8,1.25
72.68,0,-100.74,165.2,1.20
-76.36,0,137.89,9.6,1.49
68.23,0,89.37,4.7,1.10
69.33,0,16.70,119.9,0.97
-76.59,0,-83.43,72.1,1.32
71.52,0,-32.57,22.6,0.81
75.72,0,108.91,315.8,1.30
69.56,0,5.73,186.6,1.14
66.54,0,73.37,254.4,1.39
23.11,0,130.08,114.2,1.20
-65.44,0,-85.54,31.5,1.06
