AutoHide,n
#x,y,z,RotY,Scale
36.05,0,-136.16,235.6,1.33
-73.20,0,-98.43,330.7,1.21
-67.70,0,-141.16,3.9,1.45
65.89,0,-137.81,256.4,1.35
-77.98,0,94.22,119.1,0.85
-74.95,0,133.05,90.3,1.26
75.76,0,-70.02,201.0,0.87
54.13,0,132.70,355.3,1.49
-76.44,0,-126.72,276.3,1.06
68.74,0,-7.13,355.3,1.22
64.68,0,-26.84,115.3,0.98
67.11,0,-43.67,299.3,1.50
5.94,0,-134.00,240.6,0.95
75.86,0,-109.16,214.8,1.40
65.90,0,9.23,300.3,1.07
19.29,0,-138.62,51.8,1.49
71.26,0,-30.31,131.7,1.04
-45.36,0,-126.34,278.3,1.15
-76.20,0,95.58,145.6,1.01
-72.31,0,-77.60,121.4,1.35
-25.98,0,133.72,270.7,0.82
16.06,0,125.13,243.9,0.87
-68.02,0,-53.70,258.9,0.83
-7.16,0,-132.72,238.6,1.42
-66.16,0,-86.48,244.7,1.36
-75.95,0,-71.76,332.6,1.13
-73.14,0,-103.03,307.7,0.99
10.30,0,126.53,91.7,1.49
70.99,0,-2.18,166.1,1.46
65.62,0,83.90,47.7,1.10
65.23,0,-121.58,0.6,1.32
39.38,0,128.10,280.7,0.86
69.31,0,129.99,51.4,1.42
11.56,0,125.54,339.0,1.48
64.01,0,-2.80,196.0,1.26
-71.64,0,113.37,333.9,1.03
-46.01,0,-125.81,109.3,0.84
-1.09,0,-132.25,208.6,1.12
38.07,0,137.70,65.2,1.30
69.51,0,3.13,335.9,1.32
-68.43,0,79.14,340.3,1.21
74.02,0,85.43,70.7,1.22
69.17,0,126.60,41.3,1.44
-28.10,0,-131.73,328.3,0.95
56.94,0,126.87,87.1,0.86
-77.39,0,27.74,105.7,1.32
70.79,0,-51.46,172.2,1.38
-66.71,0,68.43,48.5,1.16
-73.26,0,-138.00,209.1,0.93
-39.02,0,-139.14,97.4,0.97
-76.09,0,-118.55,274.9,1.13
75.39,0,87.58,204.9,1.18
36.73,0,132.26,172.7,1.47
-74.25,0,-82.48,353.5,1.00
-76.18,0,1.75,218.8,0.96
-74.13,0,138.21,155.7,1.10
77.86,0,55.37,37.4,0.86
-64.09,0,-48.73,347.4,1.46
-77.88,0,-6.52,161.7,1.47
-65.81,0,110.26,110.5,1.27
-70.76,0,139.51,70.5,1.30
-77.30,0,-79.88,198.8,0.82
77.87,0,59.51,266.5,1.32
-70.18,0,-57.17,195.5,0.97
17.91,0,-124.89,246.5,1.09
50.58,0,-129.43,238.2,1.37
-75.67,0,-78.92,317.9,1.46
77.02,0,-65.50,99.5,1.44
-34.13,0,131.03,103.1,0.87
76.96,0,-63.33,27.6,1.08
-34.42,0,-125.35,159.3,1.42
-72.96,0,119.03,159.7,1.21
68.19,0,-102.75,194.8,1.31
-69.32,0,-78.56,331.2,0.96
72.10,0,44.31,258.2,1.42
72.49,0,66.45,211.9,0.97
-72.36,0,-1.77,232.9,0.83
-75.17,0,103.86,10.4,1.24
-73.41,0,-28.30,17.3,1.27
70.07,0,19.10,91.7,0.86
