AutoHide,n
#x,y,z,RotY,Scale
-69.30,0,-45.05,58.31,1.45
-71.19,0,101.41,322.17,1.39
66.16,0,104.96,98.80,1.24
-69.47,0,-76.21,338.98,0.91
73.27,0,14.63,297.09,0.82
-64.57,0,62.34,95.28,0.95
70.80,0,-108.03,320.04,1.18
69.31,0,70.08,246.60,1.01
-67.43,0,-78.64,149.62,1.13
70.67,0,-43.11,258.61,1.31
74.73,0,-84.92,133.39,1.19
66.66,0,-86.82,161.85,0.90
-71.81,0,-26.65,221.54,0.97
-66.05,0,99.76,259.61,0.93
-69.52,0,3.39,179.55,1.02
-74.01,0,-24.55,164.60,0.97
64.54,0,-50.29,215.11,1.39
67.14,0,-113.12,38.70,0.89
72.00,0,60.69,131.74,1.08
-71.01,0,-48.62,139.09,1.12
73.08,0,28.35,219.98,0.89
-70.67,0,67.83,122.07,1.46
-72.81,0,2.10,180.03,0.83
-67.15,0,69.91,186.96,0.90
-71.39,0,26.01,58.50,1.49
70.53,0,1.68,183.50,1.14
69.22,0,-111.17,119.25,0.88
70.42,0,68.25,261.12,1.28
-68.43,0,-53.93,236.01,1.48
-67.06,0,19.21,61.38,1.24
65.63,0,41.57,11.37,1.46
-72.90,0,-13.56,150.76,1.09
-70.49,0,63.24,331.39,1.41
-67.24,0,4.30,201.92,1.50
69.78,0,-42.84,62.35,1.44
70.01,0,40.45,312.36,1.28
70.71,0,-70.78,88.75,1.19
-64.64,0,110.92,277.62,1.29
67.49,0,-34.78,336.13,1.36
67.17,0,16.90,195.55,1.43
73.00,0,104.56,289.66,1.00
74.51,0,-96.82,332.64,1.26
66.35,0,75.43,97.61,1.19
65.51,0,26.61,211.26,0.97
-67.98,0,-102.93,148.79,1.30
-67.51,0,-83.38,347.23,1.48
-70.52,0,100.06,316.22,1.13
-66.68,0,-48.93,102.75,0.84
-67.82,0,-61.59,265.93,1.40
-64.95,0,-74.74,317.61,0.92
-64.03,0,-23.69,178.34,1.46
73.64,0,-112.87,204.47,0.88
67.13,0,112.49,195.59,1.15
-65.64,0,-7.36,69.41,0.88
-66.96,0,34.11,258.70,0.81
72.70,0,15.59,272.62,0.92
73.10,0,3.51,31.23,1.27
-64.20,0,-5.19,336.90,0.80
66.59,0,58.36,343.45,1.01
-72.12,0,-32.30,85.07,1.27
