AutoHide,n
#x,y,z,RotY,Scale
20.39,0,35.97,206.9,1.25
24.97,0,2.37,317.1,1.02
-22.97,0,-5.59,295.9,0.97
-33.16,0,28.34,291.1,1.09
33.85,0,37.09,344.5,1.18
35.05,0,21.15,139.2,1.10
-20.65,0,-32.60,256.8,1.06
-39.26,0,-23.30,330.7,1.23
39.68,0,-10.36,272.7,1.26
39.33,0,-20.78,248.6,1.10
27.46,0,27.59,71.2,0.86
22.94,0,-17.37,99.2,1.00
-15.56,0,46.25,291.6,1.47
-32.50,0,-15.51,141.4,1.43
39.93,0,-29.07,234.6,0.86
-20.03,0,38.23,274.8,0.81
16.98,0,-30.76,150.1,1.42
10.89,0,-38.98,190.0,0.86
35.89,0,-4.63,223.4,1.10
24.18,0,3.83,254.0,1.40
34.84,0,-45.68,176.6,1.14
38.31,0,48.63,304.8,1.15
-28.85,0,-19.76,189.4,1.39
26.90,0,-0.93,41.3,1.42
-26.25,0,-16.18,84.2,0.93
7.60,0,-32.59,55.1,1.02
20.00,0,-32.55,185.4,0.90
30.85,0,47.59,130.3,1.01
34.64,0,40.62,84.7,0.81
-4.05,0,37.64,222.6,0.91
39.10,0,-29.31,236.9,1.44
-18.02,0,-19.26,132.1,1.46
11.75,0,45.76,85.7,0.82
15.82,0,48.10,108.0,1.25
38.81,0,-21.52,181.4,1.02
23.06,0,-9.97,224.1,1.01
7.17,0,-34.07,306.3,1.38
39.73,0,35.45,40.8,0.93
19.34,0,-0.97,89.9,0.80
33.24,0,-19.28,348.7,1.21
39.05,0,-6.61,319.3,1.03
34.98,0,-40.67,126.6,0.95
-31.92,0,6.15,345.1,1.43
-18.45,0,38.86,302.4,0.95
-5.24,0,41.89,107.3,1.10
-38.90,0,-18.37,36.8,1.31
19.07,0,-24.13,48.2,1.19
-33.24,0,15.50,357.3,1.32
-27.41,0,46.48,94.1,0.96
-35.58,0,35.31,336.3,1.06
