AutoHide,n
#x,y,z,RotY,Scale
-40.97,0,4.27,287.7,1.47
-17.64,0,-47.83,48.8,1.01
-21.73,0,-19.3,322.7,0.93
-28.32,0,12.06,359.2,1.54
-28.09,0,35.25,240.3,1.55
17.24,0,13.85,300.1,1.05
46.63,0,-29.23,98.4,1.0
-38.57,0,-23.18,319.1,1.42
-37.34,0,-11.04,20.9,1.05
-2.18,0,-43.07,220.8,1.5
23.85,0,-42.59,263.1,1.12
-47.69,0,-34.77,119.2,0.89
-25.07,0,11.32,92.2,1.26
-29.07,0,32.75,225.1,1.32
38.09,0,-5.35,91.2,1.07
25.21,0,19.07,10.3,0.87
-39.41,0,-44.55,184.0,1.23
35.91,0,-30.18,13.3,1.49
33.27,0,-3.37,99.3,1.06
21.0,0,9.85,103.5,1.42
26.38,0,43.65,40.7,1.02
36.83,0,3.8,45.4,1.24
16.31,0,13.66,51.0,0.97
44.33,0,-20.54,328.1,0.89
41.3,0,-45.22,19.9,0.94
-0.93,0,-44.81,199.7,1.03
19.07,0,0.7,158.7,1.18
15.54,0,-11.69,67.3,1.13
14.66,0,-31.83,193.1,0.88
-32.93,0,20.81,224.2,1.04
35.66,0,45.94,266.0,0.95
18.53,0,37.46,290.5,1.01
35.35,0,45.08,337.8,1.19
-37.67,0,33.79,115.2,0.92
28.98,0,18.91,335.2,1.53
-27.34,0,-21.62,167.3,1.35
