ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,Type,Move,Instancing
1,res/model/cubeNormalInverse120x240.x,0,0,0,0,0,0,1,Collision,n,
2,res/model/stage_3_4/stage_ground.x,0,0.01,0,0,0,0,1,Collision,n,
3500,res/model/static_platform/static_platform_2x2_collision.x,-3.0,1.0,-105.0,0,0,0,1,Collision,n,
3501,res/model/static_platform/static_platform_2x2_collision.x,3.0,1.0,-105.0,0,0,0,1,Collision,n,
3502,res/model/static_platform/static_platform_2x2_collision.x,-3.0,1.0,-99.0,0,0,0,1,Collision,n,
3503,res/model/static_platform/static_platform_2x2_collision.x,3.0,1.0,-99.0,0,0,0,1,Collision,n,
3504,res/model/static_platform/static_platform_2x2_collision.x,-9.0,1.2,-92.0,0,0,0,1,Collision,n,
3505,res/model/static_platform/static_platform_2x2_collision.x,-3.0,1.2,-92.0,0,0,0,1,Collision,n,
3506,res/model/static_platform/static_platform_2x2_collision.x,-9.0,1.2,-86.0,0,0,0,1,Collision,n,
3507,res/model/static_platform/static_platform_2x2_collision.x,-3.0,1.2,-86.0,0,0,0,1,Collision,n,
3508,res/model/static_platform/static_platform_2x2_collision.x,3.0,1.0,-79.0,0,0,0,1,Collision,n,
3509,res/model/static_platform/static_platform_2x2_collision.x,9.0,1.0,-79.0,0,0,0,1,Collision,n,
3510,res/model/static_platform/static_platform_2x2_collision.x,3.0,1.0,-73.0,0,0,0,1,Collision,n,
3511,res/model/static_platform/static_platform_2x2_collision.x,9.0,1.0,-73.0,0,0,0,1,Collision,n,
3512,res/model/static_platform/static_platform_2x2_collision.x,-3.0,1.2,-66.0,0,0,0,1,Collision,n,
3513,res/model/static_platform/static_platform_2x2_collision.x,3.0,1.2,-66.0,0,0,0,1,Collision,n,
3514,res/model/static_platform/static_platform_2x2_collision.x,-3.0,1.2,-60.0,0,0,0,1,Collision,n,
3515,res/model/static_platform/static_platform_2x2_collision.x,3.0,1.2,-60.0,0,0,0,1,Collision,n,
3516,res/model/static_platform/static_platform_2x2_collision.x,-9.0,1.0,-53.0,0,0,0,1,Collision,n,
3517,res/model/static_platform/static_platform_2x2_collision.x,-3.0,1.0,-53.0,0,0,0,1,Collision,n,
3518,res/model/static_platform/static_platform_2x2_collision.x,-9.0,1.0,-47.0,0,0,0,1,Collision,n,
3519,res/model/static_platform/static_platform_2x2_collision.x,-3.0,1.0,-47.0,0,0,0,1,Collision,n,
3520,res/model/static_platform/static_platform_2x2_collision.x,3.0,1.2,-40.0,0,0,0,1,Collision,n,
3521,res/model/static_platform/static_platform_2x2_collision.x,9.0,1.2,-40.0,0,0,0,1,Collision,n,
3522,res/model/static_platform/static_platform_2x2_collision.x,3.0,1.2,-34.0,0,0,0,1,Collision,n,
3523,res/model/static_platform/static_platform_2x2_collision.x,9.0,1.2,-34.0,0,0,0,1,Collision,n,
3524,res/model/static_platform/static_platform_2x2_collision.x,-3.0,1.0,-27.0,0,0,0,1,Collision,n,
3525,res/model/static_platform/static_platform_2x2_collision.x,3.0,1.0,-27.0,0,0,0,1,Collision,n,
3526,res/model/static_platform/static_platform_2x2_collision.x,-3.0,1.0,-21.0,0,0,0,1,Collision,n,
3527,res/model/static_platform/static_platform_2x2_collision.x,3.0,1.0,-21.0,0,0,0,1,Collision,n,
3528,res/model/static_platform/static_platform_2x2_collision.x,-9.0,1.2,-14.0,0,0,0,1,Collision,n,
3529,res/model/static_platform/static_platform_2x2_collision.x,-3.0,1.2,-14.0,0,0,0,1,Collision,n,
3530,res/model/static_platform/static_platform_2x2_collision.x,-9.0,1.2,-8.0,0,0,0,1,Collision,n,
3531,res/model/static_platform/static_platform_2x2_collision.x,-3.0,1.2,-8.0,0,0,0,1,Collision,n,
3532,res/model/static_platform/static_platform_2x2_collision.x,3.0,1.0,-1.0,0,0,0,1,Collision,n,
3533,res/model/static_platform/static_platform_2x2_collision.x,9.0,1.0,-1.0,0,0,0,1,Collision,n,
3534,res/model/static_platform/static_platform_2x2_collision.x,3.0,1.0,5.0,0,0,0,1,Collision,n,
3535,res/model/static_platform/static_platform_2x2_collision.x,9.0,1.0,5.0,0,0,0,1,Collision,n,
3536,res/model/static_platform/static_platform_2x2_collision.x,-3.0,1.2,12.0,0,0,0,1,Collision,n,
3537,res/model/static_platform/static_platform_2x2_collision.x,3.0,1.2,12.0,0,0,0,1,Collision,n,
3538,res/model/static_platform/static_platform_2x2_collision.x,-3.0,1.2,18.0,0,0,0,1,Collision,n,
3539,res/model/static_platform/static_platform_2x2_collision.x,3.0,1.2,18.0,0,0,0,1,Collision,n,
3540,res/model/static_platform/static_platform_2x2_collision.x,-9.0,1.0,25.0,0,0,0,1,Collision,n,
3541,res/model/static_platform/static_platform_2x2_collision.x,-3.0,1.0,25.0,0,0,0,1,Collision,n,
3542,res/model/static_platform/static_platform_2x2_collision.x,-9.0,1.0,31.0,0,0,0,1,Collision,n,
3543,res/model/static_platform/static_platform_2x2_collision.x,-3.0,1.0,31.0,0,0,0,1,Collision,n,
3544,res/model/static_platform/static_platform_2x2_collision.x,3.0,1.2,38.0,0,0,0,1,Collision,n,
3545,res/model/static_platform/static_platform_2x2_collision.x,9.0,1.2,38.0,0,0,0,1,Collision,n,
