ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,Type,Move,Instancing
1,res/model/cubeNormalInverse120x240.x,0,0,0,0,0,0,1,Collision,n,
2,res/model/stage_3_3/stage_ground.x,0,0.01,0,0,0,0,1,Collision,n,
11001,res/model/attack_block/attack_floor.x,-27,0.6,24,0,0,0,2,Collision,n,
11002,res/model/attack_block/attack_floor.x,-31,0.6,24,0,0,0,2,Collision,n,
11003,res/model/attack_block/attack_floor.x,-35,0.6,24,0,0,0,2,Collision,n,
11011,res/model/attack_block/attack_floor.x,-27,0.6,-24,0,0,0,2,Collision,n,
11012,res/model/attack_block/attack_floor.x,-31,0.6,-24,0,0,0,2,Collision,n,
11013,res/model/attack_block/attack_floor.x,-35,0.6,-24,0,0,0,2,Collision,n,
11020,res/model/collision_moving_platform.x,-43,0.4,0,0,0,0,1,Collision,y,
11021,res/model/collision_moving_platform.x,-48,2.0,12,0,0,0,1,Collision,n,
11022,res/model/collision_moving_platform.x,-48,2.0,-24,0,0,0,1,Collision,n,
11030,res/model/collision_wall/collision_wall_tall_collision.x,-32,1.5,52,0,90,0,1,Collision,n,
11031,res/model/collision_wall/collision_wall_tall_collision.x,-28,1.5,52,0,90,0,1,Collision,n,
11032,res/model/collision_wall/collision_wall_tall_collision.x,-32,1.5,-52,0,90,0,1,Collision,n,
11033,res/model/collision_wall/collision_wall_tall_collision.x,-28,1.5,-52,0,90,0,1,Collision,n,
11034,res/model/collision_wall/collision_wall_tall_collision.x,-5.5,1.5,-8,0,0,0,1,Collision,n,
11035,res/model/collision_wall/collision_wall_tall_collision.x,5.5,1.5,-8,0,0,0,1,Collision,n,
11036,res/model/collision_wall/collision_wall_tall_collision.x,-5.5,1.5,-16,0,0,0,1,Collision,n,
11037,res/model/collision_wall/collision_wall_tall_collision.x,5.5,1.5,-16,0,0,0,1,Collision,n,
11038,res/model/cubeWoodSmall/cube_wood_small_collision.x,-48,0,16,0,0,0,1,Collision,n,
11039,res/model/cubeWoodSmall/cube_wood_small_collision.x,-48,0,14,0,0,0,1,Collision,n,
11040,res/model/cubeWoodSmall/cube_wood_small_collision.x,-48,0.95,14,0,0,0,1,Collision,n,
11041,res/model/cubeWoodSmall/cube_wood_small_collision.x,-48,0,10,0,0,0,1,Collision,n,
11042,res/model/cubeWoodSmall/cube_wood_small_collision.x,-48,0.95,10,0,0,0,1,Collision,n,
11043,res/model/cubeWoodSmall/cube_wood_small_collision.x,-48,0,-20,0,0,0,1,Collision,n,
11044,res/model/cubeWoodSmall/cube_wood_small_collision.x,-48,0,-22,0,0,0,1,Collision,n,
11045,res/model/cubeWoodSmall/cube_wood_small_collision.x,-48,0.95,-22,0,0,0,1,Collision,n,
