Type,PosX,PosY,PosZ,RotY
small_spider,-47,0.9,-1,30
spider,-42,0.9,-5,180
small_golem,-46,0.9,-8,270
small_spider,-18,8.55,48,40
spider,-13,8.55,52,200
small_golem,-10,8.55,47,300
bird,48,17.5,2,180
small_spider,53,16.55,5,20
small_golem,49,16.55,8,250
small_spider,-10,24.55,-29,45
spider,-5,24.55,-33,210
small_golem,-3,24.55,-28,310
bird,2,9.5,52,90
small_spider,7,8.55,55,220
small_golem,8,8.55,51,300
small_spider,40,16.55,-14,20
spider,41,16.55,-20,180
small_golem,46,16.55,-24,270
bird,-52,25.5,-12,0
small_spider,-49,24.55,-7,150
small_golem,-55,24.55,-8,260
