Type,PosX,PosY,PosZ,RotY
ghost,3.1,0.2,-48.9,0
small_skeleton,3.1,0.2,-48.9,180
skeleton,36.4,0.2,-28.2,0
ghost,36.4,0.2,-28.2,180
small_skeleton,43.9,0.2,-4.1,0
ghost,34.0,0.2,23.9,180
skeleton,34.0,0.2,23.9,0
small_skeleton,4.2,0.2,38.4,180
ghost,4.2,0.2,38.4,0
skeleton,-16.1,0.2,32.9,180
ghost,-32.5,0.2,8.9,0
small_skeleton,-32.5,0.2,8.9,180
skeleton,-25.7,0.2,-16.9,0
small_skeleton,-11.8,0.2,-26.2,180
skeleton,3.8,0.2,-26.5,0
small_skeleton,18.2,0.2,-16.1,180
skeleton,18.2,0.2,-16.1,0
ghost,20.1,0.2,5.5,180
small_skeleton,20.1,0.2,5.5,0
skeleton,12.7,0.2,13.9,180
ghost,0.5,0.2,16.4,0
skeleton,-7.3,0.2,12.4,180
ghost,-7.3,0.2,12.4,0
small_skeleton,-11.2,0.2,2.1,180
skeleton,-11.2,0.2,2.1,0
ghost,-5.5,0.2,-5.7,180
