ID,PhysicsID,Damage
stage25-lava-01,4001,20
stage25-lava-02,4002,20
stage25-lava-03,4003,20
stage25-lava-04,4004,20
stage25-lava-05,4005,20
stage25-lava-06,4006,20
stage25-lava-07,4007,20
stage25-lava-08,4008,20
stage25-lava-09,4009,20
stage25-lava-10,4010,20
stage25-lava-11,4011,20
stage25-lava-12,4012,20
stage25-lava-13,4013,20
stage25-lava-14,4014,20
stage25-lava-15,4015,20
stage25-lava-16,4016,20
stage25-lava-17,4017,20
stage25-lava-18,4018,20
stage25-lava-19,4019,20
stage25-lava-20,4020,20
stage25-lava-21,4021,20
stage25-lava-22,4022,20
stage25-lava-23,4023,20
stage25-lava-24,4024,20
stage25-lava-25,4025,20
stage25-lava-26,4026,20
stage25-lava-27,4027,20
stage25-lava-28,4028,20
stage25-lava-29,4029,20
stage25-lava-30,4030,20
stage25-lava-31,4031,20
stage25-lava-32,4032,20
stage25-lava-33,4033,20
stage25-lava-34,4034,20
stage25-lava-35,4035,20
stage25-lava-36,4036,20
