Type,PosX,PosY,PosZ,RotY
golem,-29.804265418401425,0.4,-86.07829383263943,0.0
mushroom,-51.959222828020735,0.4,-106.12928759235234,180
enemy2,-13.091684982466752,0.4,-92.7633260070133,180
golem,-26.0,0.4,-78.0,0.0
mushroom,-33.0,0.4,-70.0,0.0
mushroom,-30.0,0.4,-62.0,180
golem,-32.5843784962853,0.4,-52.82031541357108,180
enemy2,-23.36572314111679,0.4,-45.138102617597326,0.0
mushroom,-1.4547458788684935,0.4,-35.59105940915137,180
mushroom,12.945254121131507,0.4,-24.79105940915137,0.0
golem,31.079113206482315,0.4,-9.07504582301516,180
enemy2,43.30548883316381,0.4,2.694511166836194,0.0
golem,30.577566771805948,0.4,15.42243322819405,180
mushroom,10.120572372899808,0.4,27.927656576260116,0.0
mushroom,-10.129248175885113,0.4,40.80952156647234,180
golem,-28.280503305332143,0.4,56.47155849362857,0.0
enemy2,-10.245601961162873,0.4,66.97927183583505,180
mushroom,5.877907420325209,0.4,84.24418515934958,0.0
golem,0.5113442743257135,0.4,94.97731145134857,180
enemy2,15.441033454403168,0.4,105.8136778181344,0.0
mushroom,-40.0,0.4,-114.0,0.0
golem,36.0,3.2,-10.0,0.0
