ID,PhysicsID,Damage
stage42-lava-000,3701,20
stage42-lava-001,3702,20
stage42-lava-002,3703,20
stage42-lava-003,3704,20
stage42-lava-004,3705,20
stage42-lava-005,3706,20
stage42-lava-006,3707,20
stage42-lava-007,3708,20
stage42-lava-008,3709,20
stage42-lava-009,3710,20
stage42-lava-010,3711,20
stage42-lava-011,3712,20
stage42-lava-012,3713,20
stage42-lava-013,3714,20
stage42-lava-014,3715,20
stage42-lava-015,3716,20
stage42-lava-016,3717,20
stage42-lava-017,3718,20
stage42-lava-018,3719,20
stage42-lava-019,3720,20
stage42-lava-020,3721,20
stage42-lava-021,3722,20
stage42-lava-022,3723,20
stage42-lava-023,3724,20
stage42-lava-024,3725,20
stage42-lava-025,3726,20
stage42-lava-026,3727,20
stage42-lava-027,3728,20
stage42-lava-028,3729,20
stage42-lava-029,3730,20
stage42-lava-030,3731,20
stage42-lava-031,3732,20
stage42-lava-032,3733,20
stage42-lava-033,3734,20
stage42-lava-034,3735,20
stage42-lava-035,3736,20
stage42-lava-036,3737,20
stage42-lava-037,3738,20
stage42-lava-038,3739,20
stage42-lava-039,3740,20
stage42-lava-040,3741,20
stage42-lava-041,3742,20
stage42-lava-042,3743,20
stage42-lava-043,3744,20
stage42-lava-044,3745,20
stage42-lava-045,3746,20
stage42-lava-046,3747,20
stage42-lava-047,3748,20
stage42-lava-048,3749,20
stage42-lava-049,3750,20
stage42-lava-050,3751,20
stage42-lava-051,3752,20
stage42-lava-052,3753,20
stage42-lava-053,3754,20
stage42-lava-054,3755,20
stage42-lava-055,3756,20
stage42-lava-056,3757,20
stage42-lava-057,3758,20
stage42-lava-058,3759,20
stage42-lava-059,3760,20
stage42-lava-060,3761,20
stage42-lava-061,3762,20
stage42-lava-062,3763,20
stage42-lava-063,3764,20
stage42-lava-064,3765,20
stage42-lava-065,3766,20
stage42-lava-066,3767,20
stage42-lava-067,3768,20
stage42-lava-068,3769,20
stage42-lava-069,3770,20
stage42-lava-070,3771,20
stage42-lava-071,3772,20
stage42-lava-072,3773,20
stage42-lava-073,3774,20
stage42-lava-074,3775,20
stage42-lava-075,3776,20
stage42-lava-076,3777,20
stage42-lava-077,3778,20
stage42-lava-078,3779,20
stage42-lava-079,3780,20
stage42-lava-080,3781,20
stage42-lava-081,3782,20
stage42-lava-082,3783,20
stage42-lava-083,3784,20
stage42-lava-084,3785,20
stage42-lava-085,3786,20
stage42-lava-086,3787,20
stage42-lava-087,3788,20
stage42-lava-088,3789,20
stage42-lava-089,3790,20
stage42-lava-090,3791,20
stage42-lava-091,3792,20
stage42-lava-092,3793,20
stage42-lava-093,3794,20
stage42-lava-094,3795,20
stage42-lava-095,3796,20
stage42-lava-096,3797,20
stage42-lava-097,3798,20
stage42-lava-098,3799,20
stage42-lava-099,3800,20
stage42-lava-100,3801,20
stage42-lava-101,3802,20
stage42-lava-102,3803,20
stage42-lava-103,3804,20
stage42-lava-104,3805,20
stage42-lava-105,3806,20
stage42-lava-106,3807,20
stage42-lava-107,3808,20
stage42-lava-108,3809,20
stage42-lava-109,3810,20
stage42-lava-110,3811,20
stage42-lava-111,3812,20
stage42-lava-112,3813,20
stage42-lava-113,3814,20
stage42-lava-114,3815,20
stage42-lava-115,3816,20
stage42-lava-116,3817,20
stage42-lava-117,3818,20
stage42-lava-118,3819,20
stage42-lava-119,3820,20
stage42-lava-120,3821,20
stage42-lava-121,3822,20
stage42-lava-122,3823,20
stage42-lava-123,3824,20
stage42-lava-124,3825,20
stage42-lava-125,3826,20
stage42-lava-126,3827,20
stage42-lava-127,3828,20
stage42-lava-128,3829,20
stage42-lava-129,3830,20
stage42-lava-130,3831,20
