ID,FileName,PosX,PosY,PosZ,RotX,RotY,RotZ,Scale,loadType
2,../plateField.x,0,0,0,0,0,0,1,normal
1203,../collision_wall.x,-10.5,1.5,8,0,1.5708,0,1,normal
1204,../collision_wall.x,10.5,1.51,6,0,0,0,1,normal
1205,../collision_wall.x,-6,1.52,3.5,0,1.5708,0,1,normal
1206,../collision_wall.x,6,1.53,-3.5,0,1.5708,0,1,normal
1207,../collision_wall.x,-8.5,1.54,-5,0,0,0,1,normal
1208,../collision_wall.x,8.5,1.55,-7,0,1.5708,0,1,normal
1209,../collision_wall.x,-4.5,1.56,10,0,1.5708,0,1,normal
1210,../collision_wall.x,5.5,1.57,-10,0,0,0,1,normal
1213,../collision_moving_platform.x,-3.5,0.82,0,0,0,0,1,normal
1214,../collision_moving_platform.x,3.5,0.83,0,0,0,0,1,normal
1219,../cube_white.x,-11.5,1,10,0,0,0,1,normal
1220,../cube_white.x,-5,1.01,6.5,0,0,0,1,normal
1221,../cube_white.x,-2.5,1.02,5,0,0,0,1,normal
1222,../cube_white.x,5.5,1.03,-5,0,0,0,1,normal
1223,../cube_white.x,7,1.04,-6.5,0,0,0,1,normal
1224,../cube_white.x,11.5,1.05,-10,0,0,0,1,normal
1226,..\Skydome3D\Skydome.blend.x, 0,0.01, 0, 0, 0, 0, 1, normal
